"ano_pesquisa","cargo","senioridade","total_profissionais","pct_do_ano"
"2024","Estatístico","Júnior","5","0.1"
"2024","Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO)","Júnior","4","0.08"
"2024","Arquiteto de Dados/Data Architect","Júnior","1","0.02"
"2025","Não informado","Não informado","994","28.45"
"2025","Analista de Dados/Data Analyst","Pleno","211","6.04"
"2025","Analista de Dados/Data Analyst","Sênior","184","5.27"
"2025","Engenheiro de Dados/Data Engineer/Data Architect","Sênior","182","5.21"
"2025","Cientista de Dados/Data Scientist","Sênior","147","4.21"
"2025","Analista de Dados/Data Analyst","Júnior","145","4.15"
"2025","Cientista de Dados/Data Scientist","Pleno","139","3.98"
"2025","Engenheiro de Dados/Data Engineer/Data Architect","Pleno","109","3.12"
"2025","Outra Opção","Júnior","90","2.58"
"2025","Analista de BI/BI Analyst","Pleno","82","2.35"
"2025","Cientista de Dados/Data Scientist","Especialista/Staff+","72","2.06"
"2025","Cientista de Dados/Data Scientist","Júnior","65","1.86"
"2025","Engenheiro de Dados/Data Engineer/Data Architect","Especialista/Staff+","62","1.77"
"2025","Analista de Dados/Data Analyst","Especialista/Staff+","59","1.69"
"2025","Analytics Engineer","Sênior","59","1.69"
"2025","Analista de BI/BI Analyst","Sênior","59","1.69"
"2025","Analista de BI/BI Analyst","Júnior","57","1.63"
"2025","Outra Opção","Pleno","55","1.57"
"2025","Analista de Negócios/Business Analyst","Pleno","53","1.52"
"2025","Engenheiro de Dados/Data Engineer/Data Architect","Júnior","49","1.4"
"2025","Analista de Negócios/Business Analyst","Sênior","48","1.37"
"2025","Engenheiro de Machine Learning/ML Engineer/AI Engineer","Sênior","42","1.2"
"2025","Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas","Sênior","41","1.17"
"2025","Analytics Engineer","Pleno","41","1.17"
"2025","Outra Opção","Sênior","39","1.12"
"2025","Engenheiro de Machine Learning/ML Engineer/AI Engineer","Especialista/Staff+","27","0.77"
